Central Processing Unit|Computer Personal Unit|Central Process Unit|Central Processor Unit
Command Line Interface|Computer Line Interface|Code Line Interface|Control Line Interface
Stack|Queue|Tree|Graph
Same name, different parameters|Same name, same parameters|Different name, same parameters|Same name, different return type
File Transfer Protocol|File Transmission Protocol|Fast Transfer Protocol|File Transport Protocol
C++|Java|Python|JavaScript
Function that can be overridden|Static function|Inline function|Private function
Graphical User Interface|General User Interface|Graphic User Interface|Global User Interface
Dijkstra's|Bubble Sort|Binary Search|Quick Sort
Error handling|Memory management|Code optimization|Input/output
Portable Network Graphics|Portable Network Graphics|Professional Network Graphics|Pixel Network Graphics
Python|Java|C++|HTML
ArrayList: dynamic array, LinkedList: linked nodes|ArrayList: linked nodes, LinkedList: dynamic array|No difference|ArrayList: faster access, LinkedList: slower access
Scalable Vector Graphics|Simple Vector Graphics|Standard Vector Graphics|System Vector Graphics
Singleton|Observer|Factory|Adapter
Parallel execution|Sequential execution|Single execution|Random execution
Joint Photographic Experts Group|Joint Picture Experts Group|Java Picture Experts Group|Joint Photo Experts Group
Java|Python|C++|JavaScript
Interface has no implementation, abstract class can have|No difference|Abstract class has no implementation, interface can have|Interface can be instantiated
Transmission Control Protocol|Transfer Control Protocol|Transmission Communication Protocol|Transfer Communication Protocol
Queue|Stack|Tree|Graph
Same signature in subclass|Different signature in subclass|Same name in same class|Different name in same class
User Datagram Protocol|User Data Protocol|Universal Datagram Protocol|Universal Data Protocol
C|Java|Python|JavaScript
Automatic memory management|Manual memory management|Stack memory management|Heap memory management
Internet Protocol|Internet Program|International Protocol|Internal Protocol
Quick Sort|Merge Sort|Bubble Sort|Insertion Sort
Dependency management|Memory management|Error handling|Code execution
Portable Document Format|Portable Data Format|Professional Document Format|Personal Document Format
Python|Java|C++|HTML
Deep copy: copies references, shallow copy: copies values|Deep copy: copies values, shallow copy: copies references|No difference|Deep copy: faster, shallow copy: slower
Comma Separated Values|Column Separated Values|Computer Separated Values|Code Separated Values
Hash Table|Array|Linked List|Tree
Anonymous function|Named function|Static function|Virtual function
PHP: Hypertext Preprocessor|Personal Home Page|Program Home Page|Public Home Page
Solidity|Python|Java|C++
Process: independent, Thread: shares memory|Process: shares memory, Thread: independent|No difference|Process: lighter, Thread: heavier
Graphics Interchange Format|Graphic Interchange Format|General Interchange Format|Global Interchange Format
B-tree|Quick Sort|Binary Search|Merge Sort
Object conversion|Memory allocation|Code compilation|Error handling
Artificial Intelligence|Automated Intelligence|Advanced Intelligence|Artificial Information
C#|Java|Python|C++
Compiler: translates all at once, Interpreter: line by line|No difference|Compiler: line by line, Interpreter: all at once|Compiler: slower, Interpreter: faster
MPEG-1 Audio Layer 3|Music Player 3|Media Player 3|Movie Player 3
Hash Table|Array|Linked List|Stack
Runtime type information|Compile-time checking|Memory allocation|Code optimization
Operating System|Operating System|Office System|Online System
C++|Python|Java|Arduino C
Static: types checked at runtime, Dynamic: at compile time|Static: types checked at compile time, Dynamic: at runtime|No difference|Static: flexible, Dynamic: rigid
Compressed file|Large file|System file|Program file
KMP algorithm|Binary Search|Quick Sort|Merge Sort
Parallel execution|Sequential execution|Single execution|Random execution
Virtual Reality|Virtual Reality|Visual Reality|Video Reality
JavaScript|Python|Java|PHP
Array: fixed size, Linked List: dynamic|Array: dynamic, Linked List: fixed size|No difference|Array: slower access, Linked List: faster access
Executable file|Example file|Export file|External file
Heap|Stack|Queue|Tree
Programming with functions|Programming with objects|Programming with classes|Programming with variables
Augmented Reality|Augmented Reality|Advanced Reality|Artificial Reality
